@relation numerictraining

@attribute num_A numeric
@attribute num_ASN numeric
@attribute TTL numeric
@attribute num_distinct_networks numeric
@attribute num_NS numeric
@attribute entropy_A numeric
@attribute entropy_NS numeric
@attribute ave_MSD numeric
@attribute sd_MSD numeric
@attribute ND numeric
@attribute sd_ND numeric
@attribute DFD numeric
@attribute sd_DFD numeric
@attribute PD numeric
@attribute sd_PD numeric
@attribute fastflux {-1,1}

@data
6.000000,1.000000,300.000000,6.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000102,0.000105,0.289576,0.089282,0.193066,0.018078,1
3.000000,1.000000,3177.000000,3.000000,5.000000,-0.000000,0.301684,0.000000,0.000000,0.000103,0.000189,0.597808,0.033247,0.176585,0.031063,1
4.000000,1.000000,300.000000,4.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000064,0.000088,0.486928,0.034195,0.177246,0.021910,1
5.000000,5.000000,9716.000000,5.000000,7.000000,0.217322,0.572520,3.210465,4.369836,0.000130,0.000168,0.732800,0.095602,0.751370,0.146833,1
1.000000,1.000000,300.000000,1.000000,4.000000,-0.000000,0.263401,3.053154,0.000000,0.000012,0.000003,0.530737,0.061699,0.182840,0.041399,1
3.000000,2.000000,535.000000,3.000000,4.000000,-0.000000,0.263401,0.000000,0.000000,0.000343,0.000495,0.874380,0.056452,0.881097,0.046815,1
1.000000,1.000000,2607.000000,1.000000,3.000000,-0.000000,0.278433,0.000000,0.000000,0.000069,0.000077,1.461366,2.016493,0.181250,0.013808,1
1.000000,1.000000,1343.000000,1.000000,5.000000,-0.000000,0.385511,0.000000,0.000000,0.000007,0.000002,0.835551,0.026988,0.546881,0.013093,1
3.000000,1.000000,21.000000,3.000000,4.000000,-0.000000,0.263401,0.449089,0.000000,0.000226,0.000286,0.762215,0.041703,0.286919,0.022815,1
2.000000,1.000000,600.000000,2.000000,4.000000,-0.000000,0.205221,0.000000,0.000000,0.010275,0.000243,15.408700,0.798948,6.689707,0.029096,1
1.000000,1.000000,714.000000,1.000000,5.000000,-0.000000,0.385511,0.000000,0.000000,0.000007,0.000001,0.580994,0.048370,0.321340,0.011156,1
2.000000,2.000000,85.000000,2.000000,2.000000,-0.000000,0.276176,0.000000,0.000000,0.000287,0.000009,2.478037,0.109997,3.500741,2.089819,1
1.000000,1.000000,78.000000,1.000000,6.000000,-0.000000,0.309555,0.000000,0.000000,0.000082,0.000004,0.610645,0.100575,0.283862,0.027205,1
